Name,Unit Price,
Pt - belt loop,10.00,
Pt - bottom: cover or double stitch hem,18.00,
Pt - bottom: cuff,18.00,
Pt - bottom: flare wide,15.00,
Pt - bottom: original hem,18.00,
Pt - bottom: plain hem,10.00,
Pt - button,3.00,
Pt - crotch in,18.00,
Pt - mending,10.00,
Pt - replace pocket,45.00,
Pt - replace zipper,25.00,
Pt - seat out only/ waist in only,35.00,
Pt - tape leg and hemming,28.00,
Pt - tape leg and hemming for jeans,38.00,
Pt - waist and seat in for ladies,28.00,
Pt - waist and seat in for men's,18.00,
Pt - waist in for jeans,35.00,
